Scientific Name ,Taxon ,Year ,Status ,received ,Budget ,O_U
Pleurobema georgianum ,Invertebrate ,2000,-4,0.3,"$52,466 ",Under
Epioblasma othcaloogensis ,Invertebrate ,2000,-4,0.26,"$52,466 ",Under
Somatochlora hineana ,Invertebrate ,2001,-4,0.21,"$868,758 ",Under
Quadrula cylindrica strigillata ,Invertebrate ,2004,-4,0.2,"$185,755 ",Under
Stygoparnus comalensis ,Invertebrate ,1996,-4,0.11,"$200,152 ",Under
Pleurobema gibberum ,Invertebrate ,1992,-4,0.07,"$93,337 ",Under
Pleurobema curtum ,Invertebrate ,1989,-4,0.06,"$84,788 ",Under
Lampsilis powellii ,Invertebrate ,1992,-4,0.05,"$292,160 ",Under
Euphydryas editha quino ,Invertebrate ,2003,-4,0.04,"$11,937,915 ",Under
Texella cokendolpheri ,Invertebrate ,2011,-4,0.01,"$1,580,600 ",Under
Orthalicus reses ,Invertebrate ,1989,-4,0,"$5,627,059 ",Under
Haliotis sorenseni ,Invertebrate ,2009,-3,0.8,"$1,079,972 ",Under
Icaricia icarioides fenderi ,Invertebrate ,2010,-3,0.77,"$306,421 ",Under
Pleurobema perovatum ,Invertebrate ,2000,-3,0.61,"$52,466 ",Under
Pleurobema collina ,Invertebrate ,1990,-3,0.58,"$124,897 ",Under
Tartarocreagris texana ,Invertebrate ,1994,-3,0.39,"$182,419 ",Under
Quadrula fragosa ,Invertebrate ,1997,-3,0.35,"$544,958 ",Under
Potamilus inflatus ,Invertebrate ,1989,-3,0.25,"$84,788 ",Under
Pleurobema pyriforme ,Invertebrate ,2003,-3,0.25,"$199,281 ",Under
Antrobia culveri ,Invertebrate ,2003,-3,0.11,"$366,268 ",Under
Stygobromus pecki ,Invertebrate ,1996,-3,0.09,"$200,152 ",Under
Cicurina madla ,Invertebrate ,2011,-3,0.06,"$1,580,600 ",Under
Rhadine exilis ,Invertebrate ,2011,-3,0.06,"$1,580,600 ",Under
Rhadine infernalis ,Invertebrate ,2011,-3,0.06,"$1,580,600 ",Under
Batrisodes texanus ,Invertebrate ,1994,-3,0.03,"$182,419 ",Under
Cicurina venii ,Invertebrate ,2011,-3,0.01,"$1,580,600 ",Under
Neoleptoneta myopica ,Invertebrate ,1994,-2,0.63,"$182,419 ",Under
Neonympha.mitchellii.mitchellii,Invertebrate,1998,-2,0.53,159445,Under
Rhadine persephone ,Invertebrate ,1994,-2,0.44,"$182,419 ",Under
Texamaurops reddelli ,Invertebrate ,1994,-2,0.44,"$182,419 ",Under
Amblema neislerii ,Invertebrate ,2003,-2,0.39,"$199,281 ",Under
Texella reddelli ,Invertebrate ,1994,-2,0.33,"$182,419 ",Under
Oxyloma haydeni kanabensis ,Invertebrate ,1995,-2,0.27,"$291,210 ",Under
Heterelmis comalensis ,Invertebrate ,1996,-2,0.15,"$200,152 ",Under
Microhexura montivaga ,Invertebrate ,1998,-2,0.14,"$74,598 ",Under
Euproserpinus euterpe ,Invertebrate ,1984,-2,0.08,"$192,043 ",Under
Heraclides aristodemus ponceanus ,Invertebrate ,1989,-2,0.03,"$5,627,059 ",Under
Elliptoideus sloatianus ,Invertebrate ,2003,-1,0.38,"$199,281 ",Under
Speyeria zerene myrtleae ,Invertebrate ,1998,-1,0.36,"$32,204 ",Under
Palaemonias alabamae ,Invertebrate ,1997,-1,0.35,"$87,967 ",Under
Leptoxis plicata ,Invertebrate ,2005,-1,0.29,"$24,792 ",Under
Pyrgulopsis ogmorhaphe ,Invertebrate ,1995,-1,0.18,"$34,425 ",Under
Alasmidonta atropurpurea ,Invertebrate ,2004,-1,0.17,"$185,755 ",Under
Leptoxis taeniata ,Invertebrate ,2005,-1,0.13,"$24,792 ",Under
Lepyrium showalteri ,Invertebrate ,2005,-1,0.13,"$24,792 ",Under
Elimia crenatella ,Invertebrate ,2005,-1,0.12,"$24,792 ",Under
Erinna newcombi ,Invertebrate ,2006,-1,0.12,"$209,629 ",Under
Branchinecta longiantenna ,Invertebrate ,2006,-1,0.1,"$2,084,542 ",Under
Branchinecta conservatio ,Invertebrate ,2006,-1,0.09,"$2,084,542 ",Under
Mesodon clarki nantahala ,Invertebrate ,1984,-1,0.05,"$20,907 ",Under
Apodemia mormo langei ,Invertebrate ,1984,-1,0.04,"$1,029,155 ",Under
Batrisodes venyivi ,Invertebrate ,2011,-1,0.01,"$1,580,600 ",Under
Neoleptoneta microps ,Invertebrate ,2011,-1,0.01,"$1,580,600 ",Under
Cicurina vespera ,Invertebrate ,2011,-1,0.01,"$1,580,600 ",Under
Cambarus aculabrum ,Invertebrate ,1996,0,0.75,"$89,293 ",Under
Callophrys mossii bayensis ,Invertebrate ,1984,0,0.72,"$52,453 ",Under
Lanx sp. ,Invertebrate ,1995,0,0.61,"$71,176 ",Under
Pyrgulopsis neomexicana ,Invertebrate ,1994,0,0.49,"$7,929 ",Under
Lampsilis subangulata ,Invertebrate ,2003,0,0.38,"$199,281 ",Under
Ambrysus amargosus ,Invertebrate ,1990,0,0.36,"$68,094 ",Under
Anguispira picta ,Invertebrate ,1982,0,0.33,"$14,460 ",Under
Lycaeides melissa samuelis ,Invertebrate ,2003,0,0.33,"$1,950,720 ",Under
Medionidus penicillatus ,Invertebrate ,2003,0,0.27,"$199,281 ",Under
Pseudocopaeodes eunus obscurus ,Invertebrate ,2007,0,0.24,"$310,884 ",Under
Mesodon magazinensis ,Invertebrate ,1994,0,0.21,"$18,317 ",Under
Adelocosa anops ,Invertebrate ,2006,0,0.21,"$99,905 ",Under
Epioblasma florentina florentina ,Invertebrate ,1985,0,0.21,"$19,168 ",Under
Spelaeorchestia koloana ,Invertebrate ,2006,0,0.2,"$99,905 ",Under
Epioblasma turgidula ,Invertebrate ,1985,0,0.18,"$19,168 ",Under
Pyrgulopsis pachyta ,Invertebrate ,1994,0,0.18,"$24,264 ",Under
Brychius hungerfordi ,Invertebrate ,2006,0,0.17,"$137,653 ",Under
Athearnia.anthonyi,Invertebrate,1997,0,0.15,55693,Under
Lycaeides argyrognomon lotis ,Invertebrate ,1985,0,0.15,"$102,352 ",Under
Epioblasma torulosa torulosa ,Invertebrate ,1985,0,0.13,"$57,505 ",Under
Elliptio chipolaensis ,Invertebrate ,2003,0,0.13,"$199,281 ",Under
Polygyriscus virginianus ,Invertebrate ,1983,0,0.12,"$39,000 ",Under
Cambarus zophonastes ,Invertebrate ,1988,0,0.12,"$58,772 ",Under
Manduca blackburni ,Invertebrate ,2005,0,0.06,"$1,106,700 ",Under
Lampsilis streckeri ,Invertebrate ,1992,0,0.04,"$285,520 ",Under
Palaemonias ganteri ,Invertebrate ,1988,0,0.04,"$369,703 ",Under
Syncaris pacifica ,Invertebrate ,1998,0,0.03,"$2,841,911 ",Under
Lirceus usdagalun ,Invertebrate ,1997,0,0.02,"$365,158 ",Under
Elaphrus viridis ,Invertebrate ,2006,0,0.02,"$2,084,542 ",Under
Speyeria zerene behrensii ,Invertebrate ,2004,0,0.01,"$3,133,733 ",Under
Discus macclintocki ,Invertebrate ,1984,1,0.79,"$61,973 ",Under
Ptychobranchus greenii ,Invertebrate ,2000,1,0.58,"$52,466 ",Under
Tryonia alamosae ,Invertebrate ,1994,1,0.39,"$7,929 ",Under
Medionidus simpsonianus ,Invertebrate ,2003,1,0.19,"$199,281 ",Under
Euphilotes battoides allyni ,Invertebrate ,1998,1,0.15,"$487,960 ",Under
Margaritifera hembeli ,Invertebrate ,1990,1,0.1,"$515,607 ",Under
Thermosphaeroma thermophilus ,Invertebrate ,1982,1,0.1,"$52,618 ",Under
Boloria acrocnema ,Invertebrate ,1994,3,0.33,"$83,733 ",Under
Hesperia leonardus montana ,Invertebrate ,1998,3,0.15,"$56,723 ",Under
Antrolana lira ,Invertebrate ,1996,3,0.11,"$114,947 ",Under
Tulotoma magnifica ,Invertebrate ,2000,6,0.37,"$52,466 ",Under
Potamilus capax ,Invertebrate ,1989,7,0.13,"$1,106,067 ",Under
Pteropus mariannus mariannus ,Mammal ,1990,-10,0.28,"$535,653 ",Under
Dipodomys heermanni morroensis ,Mammal ,2000,-8,0.22,"$579,960 ",Under
Dipodomys nitratoides nitratoides ,Mammal ,1998,-8,0.2,"$1,303,380 ",Under
Dipodomys ingens ,Mammal ,1998,-8,0.15,"$1,303,380 ",Under
Rangifer tarandus caribou ,Mammal ,1994,-7,0.6,"$445,531 ",Under
Myotis sodalis ,Mammal ,2007,-7,0.2,"$16,655,800 ",Under
Leopardus pardalis ,Mammal ,2010,-7,0.03,"$9,478,406 ",Under
Sylvilagus palustris hefneri ,Mammal ,1989,-7,0.02,"$5,627,059 ",Under
Trichechus manatus ,Mammal ,2001,-6,0.42,"$13,200,000 ",Under
Tamiasciurus hudsonicus grahamensis ,Mammal ,2011,-6,0.19,"$612,990 ",Under
Neotoma floridana smalli ,Mammal ,1989,-6,0.03,"$5,627,059 ",Under
Reithrodontomys raviventris ,Mammal ,2014,-4,0.11,"$5,183,564 ",Under
Puma concolor ,Mammal ,2008,-3,0.72,"$3,834,000 ",Under
Perognathus longimembris pacificus ,Mammal ,1998,-3,0.41,"$429,000 ",Under
Antilocapra americana sonoriensis ,Mammal ,1998,-3,0.34,"$1,844,700 ",Under
Monachus schauinslandi ,Mammal ,2007,-3,0.17,"$8,044,960 ",Under
Dipodomys nitratoides exilis ,Mammal ,1998,-3,0.08,"$1,303,380 ",Under
Peromyscus polionotus trissyllepsis ,Mammal ,1987,-3,0.06,"$2,364,880 ",Under
Peromyscus gossypinus allapaticola ,Mammal ,1989,-3,0.02,"$5,627,059 ",Under
Oryzomys.palustris.natator,Mammal,1989,-3,0.01,5627059,Under
Sylvilagus bachmani riparius ,Mammal ,1998,-2,0.78,"$1,303,363 ",Under
Microtus californicus scirpensis ,Mammal ,1997,-2,0.59,"$61,142 ",Under
Orcinus orca ,Mammal ,2008,-2,0.37,"$3,248,640 ",Under
Delphinapterus leucas ,Mammal ,2008,-2,0.34,"$1,862,136 ",Under
Eumetopias jubatus ,Mammal ,2008,-1,0.66,"$20,269,440 ",Under
Balaena glacialis ,Mammal ,2010,-1,0.37,"$9,658,490 ",Under
Corynorhinus townsendii ingens ,Mammal ,1995,-1,0.29,"$488,376 ",Under
Neotoma fuscipes riparia ,Mammal ,1998,-1,0.1,"$1,303,363 ",Under
Cynomys parvidens ,Mammal ,2012,-1,0.06,"$3,889,280 ",Under
Sorex ornatus relictus ,Mammal ,1998,-1,0.06,"$1,303,363 ",Under
Microtus mexicanus hualpaiensis ,Mammal ,1991,-1,0.06,"$382,014 ",Under
Glaucomys sabrinus coloratus ,Mammal ,1990,0,0.31,"$121,040 ",Under
Lasiurus cinereus semotus ,Mammal ,1998,0,0.26,"$888,745 ",Under
Aplodontia rufa nigra ,Mammal ,1998,0,0.17,"$299,442 ",Under
Balaenoptera borealis ,Mammal ,2012,0,0.14,"$1,235,176 ",Under
Balaenoptera physalus ,Mammal ,2006,0,0.12,"$1,401,280 ",Under
Microtus pennsylvanicus dukecampbelli ,Mammal ,1997,0,0.12,"$60,900 ",Under
Peromyscus polionotus peninsularis ,Mammal ,2010,0,0.12,"$456,383 ",Under
Puma concolor couguar ,Mammal ,1982,0,0.11,"$96,400 ",Under
Enhydra lutris kenyoni ,Mammal ,2013,0,0.1,"$3,060,000 ",Under
Odocoileus virginianus clavium ,Mammal ,1989,0,0.09,"$5,627,059 ",Under
Physeter catodon ,Mammal ,2010,0,0.09,"$4,533,174 ",Under
Herpailurus yagouaroundi cacomitli ,Mammal ,2013,0,0.07,"$2,921,863 ",Under
Pteropus tokudae ,Mammal ,1990,0,0.04,"$535,653 ",Under
Spermophilus brunneus brunneus ,Mammal ,2003,1,0.56,"$386,842 ",Under
Urocyon littoralis littoralis ,Mammal ,2012,1,0.48,"$392,198 ",Under
Urocyon littoralis santarosae ,Mammal ,2012,1,0.45,"$392,198 ",Under
Urocyon littoralis santacruzae ,Mammal ,2012,1,0.33,"$392,198 ",Under
Leptonycteris nivalis ,Mammal ,1994,1,0.04,"$807,765 ",Under
Ovis canadensis nelsoni ,Mammal ,2000,1,0.01,"$19,778,310 ",Under
Ursus arctos horribilis ,Mammal ,1993,2,0.65,"$6,535,527 ",Under
Urocyon littoralis catalinae ,Mammal ,2012,2,0.07,"$392,198 ",Under
Leptonycteris curasoae yerbabuenae ,Mammal ,1997,3,0.69,"$307,690 ",Under
Balaenoptera musculus ,Mammal ,1998,3,0.33,"$448,162 ",Under
Glaucomys sabrinus fuscus ,Mammal ,1990,4,0.86,"$121,040 ",Under
Canis rufus ,Mammal ,1990,4,0.63,"$1,337,077 ",Under
Ovis canadensis sierrae ,Mammal ,2008,4,0.48,"$1,173,420 ",Under
Megaptera novaeangliae ,Mammal ,1991,4,0.1,"$9,815,400 ",Under
Odocoileus virginianus leucurus ,Mammal ,1983,8,0.81,"$257,400 ",Under
Mustela nigripes ,Mammal ,2013,9,0.26,"$6,249,200 ",Under
Torreya taxifolia ,Plant ,1986,-10,0.15,"$122,830 ",Under
Sagittaria fasciculata ,Plant ,1983,-9,0.63,"$28,080 ",Under
Spiranthes parksii ,Plant ,1984,-9,0.29,"$109,013 ",Under
Chamaesyce.deltoidea.deltoidea,Plant,1989,-9,0.01,5625059,Under
Sidalcea pedata ,Plant ,1998,-8,0.85,"$33,748 ",Under
Prunus geniculata ,Plant ,1996,-8,0.55,"$83,599 ",Under
Lilium occidentale ,Plant ,1998,-8,0.51,"$197,054 ",Under
Phacelia argillacea ,Plant ,1982,-8,0.49,"$14,862 ",Under
Amsinckia grandiflora ,Plant ,1997,-8,0.32,"$139,744 ",Under
Lupinus aridorum ,Plant ,1996,-8,0.19,"$83,599 ",Under
Caesalpinia kavaiense ,Plant ,1994,-8,0.09,"$286,000 ",Under
Warea amplexifolia ,Plant ,1993,-8,0.03,"$131,215 ",Under
Limnanthes floccosa californica ,Plant ,2006,-8,0.02,"$2,084,542 ",Under
Kokia cookei ,Plant ,1998,-8,0.02,"$313,860 ",Under
Acanthomintha obovata duttonii ,Plant ,1998,-8,0,"$4,415,840 ",Under
Cereus eriophorus fragrans ,Plant ,1989,-8,0,"$5,627,059 ",Under
Galactia smallii ,Plant ,1989,-8,0,"$5,627,059 ",Under
Eriogonum ovalifolium williamsiae ,Plant ,1995,-7,0.36,"$57,400 ",Under
Dicerandra immaculata ,Plant ,1989,-7,0.11,"$5,627,059 ",Under
Spigelia gentianoides ,Plant ,2012,-7,0.11,"$75,705 ",Under
Alectryon macrococcus ,Plant ,1997,-7,0.04,"$1,105,024 ",Under
Callirhoe scabriuscula ,Plant ,1985,-7,0.01,"$433,648 ",Under
Tuctoria mucronata ,Plant ,2006,-7,0.01,"$2,084,542 ",Under
Arenaria paludicola ,Plant ,1998,-6,0.77,"$38,233 ",Under
Isodendrion hosakae ,Plant ,1994,-6,0.71,"$64,917 ",Under
Pediocactus despainii ,Plant ,1995,-6,0.61,"$20,400 ",Under
Chorizanthe pungens hartwegiana ,Plant ,1998,-6,0.6,"$33,348 ",Under
Rhus michauxii ,Plant ,1993,-6,0.58,"$144,900 ",Under
Stephanomeria malheurensis ,Plant ,1991,-6,0.47,"$56,007 ",Under
Erysimum teretifolium ,Plant ,1998,-6,0.45,"$33,348 ",Under
Flueggea neowawraea ,Plant ,1999,-6,0.42,"$135,600 ",Under
Brighamia insignis ,Plant ,1995,-6,0.34,"$66,531 ",Under
Potentilla hickmanii ,Plant ,2004,-6,0.3,"$33,723 ",Under
Clarkia speciosa immaculata ,Plant ,1998,-6,0.28,"$46,065 ",Under
Asclepias meadii ,Plant ,2003,-6,0.21,"$251,037 ",Under
Dicerandra cornutissima ,Plant ,1987,-6,0.13,"$7,858 ",Under
Poa mannii ,Plant ,1995,-6,0.08,"$66,531 ",Under
Berberis pinnata insularis ,Plant ,2000,-6,0.08,"$134,792 ",Under
Castilleja campestris succulenta ,Plant ,2006,-6,0.03,"$2,084,542 ",Under
Ranunculus aestivalis ,Plant ,1991,-6,0.02,"$228,000 ",Under
Hibiscadelphus woodii ,Plant ,1998,-6,0.02,"$173,495 ",Under
Serianthes nelsonii ,Plant ,1994,-6,0.02,"$343,187 ",Under
Coryphantha ramillosa ,Plant ,1990,-6,0.02,"$139,493 ",Under
Ziziphus celata ,Plant ,1989,-6,0.01,"$5,627,059 ",Under
Dicerandra frutescens ,Plant ,1989,-6,0,"$5,627,059 ",Under
Crotalaria avonensis ,Plant ,1989,-6,0,"$5,627,059 ",Under
Amorpha crenulata ,Plant ,1989,-6,0,"$5,627,059 ",Under
Deeringothamnus.pulchellus,Plant,1989,-6,0,5625059,Under
Colubrina oppositifolia ,Plant ,1996,-5,0.85,"$33,265 ",Under
Cyanea humboldtiana ,Plant ,1998,-5,0.76,"$48,051 ",Under
Rorippa gambellii ,Plant ,1998,-5,0.6,"$38,233 ",Under
Schoenocrambe suffrutescens ,Plant ,1994,-5,0.57,"$14,304 ",Under
Eugenia koolauensis ,Plant ,1998,-5,0.51,"$48,051 ",Under
Silene polypetala ,Plant ,1996,-5,0.35,"$29,107 ",Under
Pentachaeta lyonii ,Plant ,1999,-5,0.33,"$62,440 ",Under
Argemone pleiacantha pinnatisecta ,Plant ,1994,-5,0.3,"$77,087 ",Under
Astragalus applegatei ,Plant ,1998,-5,0.27,"$149,490 ",Under
Helianthus schweinitzii ,Plant ,1994,-5,0.26,"$183,167 ",Under
Clermontia drepanomorpha ,Plant ,1996,-5,0.23,"$33,265 ",Under
Coryphantha robbinsorum ,Plant ,1993,-5,0.18,"$44,436 ",Under
Isodendrion laurifolium ,Plant ,1999,-5,0.17,"$135,600 ",Under
Nolina brittoniana ,Plant ,1996,-5,0.15,"$83,599 ",Under
Euphorbia haeleeleana ,Plant ,1999,-5,0.14,"$135,600 ",Under
Panicum fauriei carteri ,Plant ,1993,-5,0.13,"$43,639 ",Under
Hibiscus arnottianus immaculatus ,Plant ,1996,-5,0.12,"$114,626 ",Under
Dalea foliosa ,Plant ,1996,-5,0.12,"$281,940 ",Under
Isodendrion longifolium ,Plant ,1999,-5,0.12,"$135,600 ",Under
Cyrtandra crenata ,Plant ,1998,-5,0.12,"$48,051 ",Under
Silene perlmanii ,Plant ,1998,-5,0.11,"$48,051 ",Under
Geum radiatum ,Plant ,1993,-5,0.11,"$101,430 ",Under
Daphnopsis hellerana ,Plant ,1992,-5,0.1,"$49,247 ",Under
Hibiscadelphus giffardianus ,Plant ,1998,-5,0.09,"$77,996 ",Under
Sicyos alba ,Plant ,1998,-5,0.08,"$77,996 ",Under
Thysanocarpus conchuliferus ,Plant ,2000,-5,0.07,"$134,792 ",Under
Hedyotis cookiana ,Plant ,1995,-5,0.06,"$66,531 ",Under
Lasthenia conjugens ,Plant ,2006,-5,0.06,"$2,084,542 ",Under
Melicope haupuensis ,Plant ,1995,-5,0.06,"$66,531 ",Under
Myrsine linearifolia ,Plant ,1998,-5,0.06,"$173,495 ",Under
Schiedea membranacea ,Plant ,1998,-5,0.04,"$173,495 ",Under
Chamaecrista glandulosa mirabilis ,Plant ,1994,-5,0.04,"$59,922 ",Under
Schiedea stellarioides ,Plant ,1998,-5,0.02,"$173,495 ",Under
Tetramolopium remyi ,Plant ,1995,-5,0.02,"$242,844 ",Under
Tuctoria greenei ,Plant ,2006,-5,0.02,"$2,084,542 ",Under
Oenothera deltoides howellii ,Plant ,1984,-5,0.01,"$1,029,155 ",Under
Orcuttia pilosa ,Plant ,2006,-5,0.01,"$2,084,542 ",Under
Chamaesyce hooveri ,Plant ,2006,-5,0.01,"$2,084,542 ",Under
Kanaloa kahoolawensis ,Plant ,2002,-5,0.01,"$467,720 ",Under
Dudleya setchellii ,Plant ,1998,-5,0.01,"$4,415,840 ",Under
Eryngium constancei ,Plant ,2006,-5,0,"$2,084,542 ",Under
Asimina tetramera ,Plant ,1989,-5,0,"$5,627,059 ",Under
Eryngium cuneifolium ,Plant ,1989,-5,0,"$5,627,059 ",Under
Warea.carteri,Plant,1989,-5,0,5625059,Under
Tetraplasandra gymnocarpa ,Plant ,1998,-4,0.83,"$48,051 ",Under
Hesperomannia arbuscula ,Plant ,1998,-4,0.56,"$48,051 ",Under
Schiedea kealiae ,Plant ,1998,-4,0.5,"$48,051 ",Under
Lipochaeta venosa ,Plant ,1994,-4,0.5,"$64,917 ",Under
Lupinus tidestromii ,Plant ,1998,-4,0.49,"$32,204 ",Under
Sidalcea nelsoniana ,Plant ,2010,-4,0.48,"$306,421 ",Under
Poa siphonoglossa ,Plant ,1995,-4,0.46,"$66,531 ",Under
Sisyrinchium dichotomum ,Plant ,1995,-4,0.44,"$104,550 ",Under
Eriogonum longifolium gnaphalifolium ,Plant ,1996,-4,0.43,"$83,599 ",Under
Pleomele hawaiiensis ,Plant ,1998,-4,0.43,"$77,996 ",Under
Melicope lydgatei ,Plant ,1998,-4,0.38,"$48,051 ",Under
Dudleya cymosa ovatifolia ,Plant ,1999,-4,0.36,"$62,440 ",Under
Schiedea nuttallii ,Plant ,1999,-4,0.36,"$135,600 ",Under
Astragalus brauntonii ,Plant ,1999,-4,0.33,"$62,440 ",Under
Sanicula purpurea ,Plant ,1999,-4,0.32,"$135,600 ",Under
Pityopsis ruthii ,Plant ,1992,-4,0.3,"$53,950 ",Under
Isoetes tegetiformans ,Plant ,1993,-4,0.3,"$8,944 ",Under
Sclerocactus wrightiae ,Plant ,1985,-4,0.26,"$93,672 ",Under
Schiedea adamantis ,Plant ,1994,-4,0.24,"$33,537 ",Under
Oxypolis canbyi ,Plant ,1990,-4,0.24,"$154,563 ",Under
Phyllostegia racemosa ,Plant ,1998,-4,0.22,"$77,996 ",Under
Arctostaphylos pallida ,Plant ,2014,-4,0.21,"$41,704 ",Under
Plantago hawaiensis ,Plant ,1996,-4,0.2,"$33,265 ",Under
Astragalus osterhoutii ,Plant ,1992,-4,0.19,"$35,828 ",Under
Vicia menziesii ,Plant ,1984,-4,0.17,"$48,533 ",Under
Melicope knudsenii ,Plant ,1995,-4,0.17,"$66,531 ",Under
Pteralyxia kauaiensis ,Plant ,1995,-4,0.13,"$66,531 ",Under
Cyanea grimesiana grimesiana ,Plant ,1999,-4,0.11,"$135,600 ",Under
Castilleja mollis ,Plant ,2000,-4,0.1,"$134,792 ",Under
Hibiscadelphus hualalaiensis ,Plant ,1998,-4,0.1,"$77,996 ",Under
Adenophorus periens ,Plant ,1999,-4,0.1,"$135,600 ",Under
Lipochaeta waimeaensis ,Plant ,1995,-4,0.09,"$66,531 ",Under
Nesogenes rotensis ,Plant ,2007,-4,0.09,"$255,211 ",Under
Cyanea copelandii copelandii ,Plant ,1996,-4,0.08,"$33,265 ",Under
Cyanea pinnatifida ,Plant ,1998,-4,0.08,"$48,051 ",Under
Remya kauaiensis ,Plant ,1995,-4,0.08,"$66,531 ",Under
Kokia drynarioides ,Plant ,1994,-4,0.08,"$286,000 ",Under
Phyllostegia warshaueri ,Plant ,1998,-4,0.07,"$77,996 ",Under
Phacelia insularis insularis ,Plant ,2000,-4,0.07,"$134,792 ",Under
Hedyotis coriacea ,Plant ,1997,-4,0.05,"$1,105,024 ",Under
Hedyotis purpurea montana ,Plant ,1996,-4,0.05,"$95,213 ",Under
Buxus vahlii ,Plant ,1987,-4,0.05,"$61,500 ",Under
Caulanthus californicus ,Plant ,1998,-4,0.05,"$1,303,380 ",Under
Alsinidendron.lychnoides,Plant,1998,-4,0.4,173495,Under
Osmoxylon mariannense ,Plant ,2007,-4,0.04,"$255,211 ",Under
Delissea rivularis ,Plant ,1998,-4,0.03,"$173,495 ",Under
Cyanea recta ,Plant ,1998,-4,0.03,"$173,495 ",Under
Opuntia treleasei ,Plant ,1998,-4,0.03,"$1,303,380 ",Under
Kokia kauaiensis ,Plant ,1998,-4,0.03,"$173,495 ",Under
Schiedea kauaiensis ,Plant ,1998,-4,0.03,"$173,495 ",Under
Viola kauaiensis wahiawaensis ,Plant ,1998,-4,0.02,"$173,495 ",Under
Cardamine micranthera ,Plant ,1991,-4,0.02,"$127,395 ",Under
Labordia tinifolia wahiawaensis ,Plant ,1998,-4,0.02,"$173,495 ",Under
Echinocereus viridiflorus davisii ,Plant ,1984,-4,0.02,"$104,533 ",Under
Phyllostegia knudsenii ,Plant ,1998,-4,0.02,"$173,495 ",Under
Clermontia samuelii ,Plant ,2002,-4,0.01,"$467,720 ",Under
Neostapfia colusana ,Plant ,2006,-4,0.01,"$2,084,542 ",Under
Dubautia plantaginea humilis ,Plant ,2002,-4,0.01,"$467,720 ",Under
Acaena exigua ,Plant ,1997,-4,0.01,"$1,105,024 ",Under
Labordia tinifolia lanaiensis ,Plant ,2002,-4,0.01,"$467,720 ",Under
Streptanthus albidus albidus ,Plant ,1998,-4,0,"$4,415,840 ",Under
Polygala lewtonii ,Plant ,1989,-4,0,"$5,627,059 ",Under
Hypericum cumulicola ,Plant ,1989,-4,0,"$5,627,059 ",Under
Dicerandra christmanii ,Plant ,1989,-4,0,"$5,627,059 ",Under
Chamaesyce rockii ,Plant ,1998,-3,0.88,"$48,051 ",Under
Phyllostegia hirsuta ,Plant ,1998,-3,0.88,"$48,051 ",Under
Cyrtandra viridiflora ,Plant ,1998,-3,0.81,"$48,051 ",Under
Lobelia gaudichaudii koolauensis ,Plant ,1998,-3,0.76,"$48,051 ",Under
Alsinidendron obovatum ,Plant ,1998,-3,0.65,"$48,051 ",Under
Labordia cyrtandrae ,Plant ,1998,-3,0.63,"$48,051 ",Under
Abutilon sandwicense ,Plant ,1998,-3,0.62,"$48,051 ",Under
Scutellaria floridana ,Plant ,1994,-3,0.62,"$15,308 ",Under
Lepidium arbuscula ,Plant ,1998,-3,0.54,"$48,051 ",Under
Vigna o-wahuensis ,Plant ,1999,-3,0.53,"$135,600 ",Under
Phyllostegia velutina ,Plant ,1998,-3,0.49,"$77,996 ",Under
Sclerocactus mesae-verdae ,Plant ,1984,-3,0.48,"$76,907 ",Under
Cyanea shipmanii ,Plant ,1996,-3,0.47,"$33,265 ",Under
Phyllostegia mollis ,Plant ,1998,-3,0.45,"$48,051 ",Under
Schiedea kaalae ,Plant ,1998,-3,0.44,"$48,051 ",Under
Fremontodendron californicum decumbens,Plant ,2002,-3,0.43,"$119,009 ",Under
Polystichum calderonense ,Plant ,1995,-3,0.43,"$8,233 ",Under
Plantago princeps ,Plant ,1999,-3,0.4,"$135,600 ",Under
Lepidium barnebyanum ,Plant ,1993,-3,0.37,"$26,297 ",Under
Trematolobelia singularis ,Plant ,1998,-3,0.37,"$48,051 ",Under
Lobelia niihauensis ,Plant ,1998,-3,0.37,"$48,051 ",Under
Hymenoxys texana ,Plant ,1990,-3,0.36,"$106,207 ",Under
Bonamia.menziesii,Plant,1999,-3,0.36,135600,Under
Astragalus holmgreniorum ,Plant ,2006,-3,0.34,"$446,252 ",Under
Astragalus phoenix ,Plant ,1990,-3,0.31,"$68,094 ",Under
Cyrtandra giffardii ,Plant ,1996,-3,0.29,"$33,265 ",Under
Adiantum vivesii ,Plant ,1995,-3,0.29,"$8,233 ",Under
Ptilimnium nodosum ,Plant ,1991,-3,0.26,"$105,450 ",Under
Isodendrion pyrifolium ,Plant ,1996,-3,0.23,"$33,265 ",Under
Lesquerella pallida ,Plant ,1992,-3,0.19,"$100,430 ",Under
Peucedanum sandwicense ,Plant ,1995,-3,0.19,"$66,531 ",Under
Styrax portoricensis ,Plant ,1995,-3,0.18,"$19,176 ",Under
Schiedea hookeri ,Plant ,1999,-3,0.17,"$135,600 ",Under
Ochrosia kilaueaensis ,Plant ,1996,-3,0.16,"$33,265 ",Under
Exocarpos luteolus ,Plant ,1995,-3,0.13,"$66,531 ",Under
Clematis morefieldii ,Plant ,1994,-3,0.13,"$37,680 ",Under
Gymnoderma lineare ,Plant ,1997,-3,0.13,"$139,683 ",Under
Cyrtandra polyantha ,Plant ,1998,-3,0.12,"$48,051 ",Under
